"1|7|2|SELECT COD_SUBFUNCAO, NOME_SUBFUNCAO FROM DETALHAMENTO_FUNCAO NATURAL JOIN FUNCAO NATURAL JOIN SUBFUNCAO WHERE COD_FUNCAO = (SELECT CF FROM (SELECT *, MAX(QNTDSF) FROM (SELECT COD_FUNCAO AS CF, COUNT() AS QNTDSF FROM DETALHAMENTO_FUNCAO as DF GROUP BY CF)))"
"6|4|3|select NOME_FUNCAO, NOME_SUBFUNCAO, SUM(VALOR_DESPESA) as VALOR_TOTAL from FUNCAO natural join DETALHAMENTO_FUNCAO natural join SUBFUNCAO natural join DESPESA_PUBLICA as DP natural join PROGRAMA_GOVERNO as PG where PG.NOME_PROGRAMA_GOVERNO = 'MAIS MEDICOS' and ANO_DESPESA = 2018 and MES_DESPESA < 10 and MES_DESPESA > 6 group by COD_FUNCAO, COD_SUBFUNCAO"
"5|3|2|select COD_PROGRAMA_GOVERNO, NOME_PROGRAMA_GOVERNO from (select *, SUM(VALOR_DESPESA) as DESPESAS_TOTAIS from FUNCAO natural join DETALHAMENTO_FUNCAO natural join DESPESA_PUBLICA natural join PROGRAMA_GOVERNO where NOME_FUNCAO = 'Educação' and ANO_DESPESA = 2018 group by COD_PROGRAMA_GOVERNO order by DESPESAS_TOTAIS desc limit 3)"
"7|5|2|select NOME_ORGAO, count(distinct COD_PROGRAMA_GOVERNO) as QNTD_PROGRAMAS_GOVERNO from ORGAO natural join DESPESA_PUBLICA natural join PROGRAMA_GOVERNO where VALOR_DESPESA > 0 group by COD_ORGAO"
"2|2|3|select NOME_FUNCAO, NOME_SUBFUNCAO, sum(VALOR_DESPESA) as DESPESAS_TOTAIS from DESPESA_PUBLICA natural join DETALHAMENTO_FUNCAO natural join FUNCAO natural join SUBFUNCAO group by COD_FUNCAO, COD_SUBFUNCAO having DESPESAS_TOTAIS > 200000"
"8|65|4|select NOME_PROGRAMA_GOVERNO, NOME_SUBFUNCAO, count(COD_DESPESA) as QNTD_DESPESAS, sum(VALOR_DESPESA) as DESPESAS_TOTAIS from PROGRAMA_GOVERNO natural join DESPESA_PUBLICA natural join DETALHAMENTO_FUNCAO natural join SUBFUNCAO group by COD_PROGRAMA_GOVERNO, COD_SUBFUNCAO"
"12|40|2|select distinct NOME_FUNCAO, NOME_SUBFUNCAO from FUNCAO Natural join DETALHAMENTO_FUNCAO natural join SUBFUNCAO"
"13|42|3|select distinct MODALIDADE_DESPESA, VALOR_DESPESA, NOME_PROGRAMA_GOVERNO from PROGRAMA_GOVERNO natural join (select distinct * from DESPESA_PUBLICA where MODALIDADE_DESPESA = 'Reserva de Contingência')"
"14|1|2|select distinct VALOR_DESPESA, NOME_ORGAO from DESPESA_PUBLICA natural join (select * from ORGAO where NOME_ORGAO = 'Ministério da Fazenda')"
"15|14|2|select distinct NOME_PROGRAMA_GOVERNO, VALOR_DESPESA from DESPESA_PUBLICA natural join (select distinct * from ORGAO where NOME_ORGAO = 'Ministério da Saúde') natural join PROGRAMA_GOVERNO"
